loan_status,gender,income,home_ownership,loan_amount,loan_interest_rate,previous_loan
Declined,female,46460,MORTGAGE,10000,13.35,Yes
Approved,female,27257,RENT,4000,11.36,No
Declined,male,27316,RENT,4000,13.92,No
Declined,female,28944,RENT,4000,12.42,Yes
Declined,female,29651,RENT,4000,14.35,Yes
Declined,male,30272,RENT,4000,11.71,Yes
Approved,male,29605,RENT,4000,14.84,No
Declined,male,29627,RENT,4000,11.01,Yes
Declined,male,46447,MORTGAGE,10000,8.49,Yes
Declined,female,29403,RENT,4000,8.59,No
Declined,female,30078,RENT,4000,12.21,No
Declined,male,46604,MORTGAGE,3900,7.9,Yes
Declined,male,29626,RENT,4000,11.66,Yes
Declined,male,46281,MORTGAGE,13500,11.83,No
Declined,male,29785,RENT,4000,7.75,No
Declined,male,46522,MORTGAGE,12000,10.38,Yes
Declined,female,31144,RENT,4000,9.45,Yes
Declined,female,31158,RENT,4000,12.69,Yes
Declined,female,31207,RENT,4000,11.71,Yes
Declined,male,31107,RENT,4000,10.36,No
Declined,male,31436,RENT,4000,8.49,No
Approved,female,39556,MORTGAGE,8000,13.47,No
Declined,male,31434,RENT,4000,11.01,Yes
Declined,male,31231,RENT,4000,10.25,Yes
Declined,female,46807,MORTGAGE,18000,9.63,No
Declined,female,31521,RENT,4000,5.42,Yes
Declined,male,46786,MORTGAGE,6000,9.88,No
Declined,male,32215,RENT,4000,11.01,Yes
Declined,male,32363,RENT,4000,6.76,Yes
Approved,female,32181,RENT,4000,12.87,No
Declined,male,46904,MORTGAGE,14500,7.88,No
Declined,female,32639,RENT,4000,7.9,Yes
Approved,male,32694,RENT,4000,11.01,No
Approved,male,32809,RENT,4000,14.17,No
Declined,male,32176,RENT,4000,13.72,Yes
Declined,female,33198,RENT,4000,5.79,Yes
Declined,male,33426,RENT,4000,10.75,Yes
Declined,male,47143,MORTGAGE,8000,6.62,Yes
Declined,female,33856,RENT,4000,7.14,No
Approved,female,33569,RENT,4000,15.58,No
Declined,female,33776,RENT,4000,12.29,Yes
Declined,male,34028,RENT,4000,5.42,No
Declined,male,46627,OWN,1000,6.62,Yes
Declined,female,34701,RENT,4000,12.99,Yes
Declined,male,34657,RENT,4000,8.9,Yes
Declined,female,34680,RENT,4000,15.23,Yes
Declined,male,34684,RENT,4000,6.39,Yes
Declined,male,34650,RENT,4000,11.01,Yes
Declined,male,47002,MORTGAGE,2000,11.01,Yes
Declined,male,34538,RENT,4000,10,Yes
Declined,female,35765,RENT,4000,9.63,Yes
Declined,female,47366,OWN,10000,13.99,Yes
Declined,male,35835,RENT,4000,5.42,No
Declined,female,35118,RENT,4000,13.48,Yes
Declined,male,47253,OWN,5550,9.99,Yes
Declined,male,36279,RENT,4000,9.45,No
Declined,female,47471,MORTGAGE,15000,15.23,Yes
Declined,male,47297,MORTGAGE,5000,11.49,Yes
Declined,male,47364,OWN,15500,11.99,No
Declined,female,47211,MORTGAGE,4200,11.01,No
Declined,female,36632,RENT,4000,10.74,No
Declined,male,36958,RENT,4000,7.9,Yes
Declined,male,37026,RENT,4000,5.99,Yes
Declined,male,37143,RENT,4000,7.49,No
Declined,male,47296,MORTGAGE,10000,10.99,Yes
Declined,male,37011,RENT,4000,16.49,Yes
Declined,male,46715,OWN,12500,13.06,Yes
Declined,female,37027,RENT,4000,13.49,No
Declined,female,36919,RENT,4000,11.49,No
Declined,male,47303,MORTGAGE,10000,5.42,No
Declined,male,47091,OWN,7675,10,Yes
Declined,male,36795,RENT,4000,11.01,No
Declined,male,46958,MORTGAGE,10000,7.29,Yes
Declined,female,47071,MORTGAGE,5000,10.37,Yes
Declined,male,36735,RENT,4000,10.36,Yes
Declined,male,37068,RENT,4000,10.36,Yes
Declined,female,47297,MORTGAGE,5000,9.25,No
Declined,female,37401,RENT,4000,10.75,Yes
Approved,male,36887,RENT,4000,15.21,No
Declined,female,46929,MORTGAGE,1000,5.79,Yes
Declined,male,47061,MORTGAGE,5700,6.17,No
Approved,male,40059,MORTGAGE,10000,11.01,No
Declined,male,37181,RENT,4000,11.01,Yes
Declined,male,47106,MORTGAGE,6000,7.51,Yes
Approved,male,36835,RENT,4000,11.83,No
Declined,male,36806,RENT,4000,9.76,No
Declined,male,37206,RENT,4000,11.34,Yes
Approved,female,38246,RENT,4000,12.61,No
Declined,male,47562,MORTGAGE,10000,14.72,No
Declined,male,38271,RENT,4000,9.99,No
Declined,female,38523,RENT,4000,12.42,Yes
Declined,male,47135,MORTGAGE,12000,10.38,No
Declined,male,47054,OWN,10000,14.72,Yes
Declined,male,47027,MORTGAGE,8500,7.14,Yes
Declined,female,38273,RENT,4000,8.59,No
Declined,male,39153,RENT,4000,13.92,No
Declined,male,47055,MORTGAGE,10000,13.98,Yes
Approved,male,39559,MORTGAGE,1750,13.61,No
Declined,male,39181,RENT,4000,5.42,Yes
Declined,female,47107,MORTGAGE,10000,7.14,Yes
Declined,male,39524,RENT,4000,11.49,Yes
Approved,female,39471,RENT,4000,17.93,No
Declined,female,38803,RENT,4000,7.68,Yes
Declined,female,40067,RENT,4000,14.27,Yes
Declined,male,39860,RENT,4000,10.08,Yes
Declined,female,40236,RENT,4000,16.29,Yes
Declined,female,40207,RENT,4000,11.01,Yes
Declined,female,47131,OTHER,8000,16,Yes
Declined,male,47347,OWN,6000,13.24,No
Declined,female,40541,RENT,4000,12.73,Yes
Declined,female,46984,OWN,12200,11.01,Yes
Approved,male,40469,RENT,4000,11.71,No
Declined,male,46977,MORTGAGE,2000,8.49,No
Declined,female,47237,MORTGAGE,5500,7.49,No
Approved,female,39854,MORTGAGE,6250,7.51,No
Declined,male,47415,MORTGAGE,6500,11.01,Yes
Declined,female,47142,MORTGAGE,8000,6.03,Yes
Approved,female,40039,MORTGAGE,4200,16.02,No
Declined,male,40541,RENT,4000,7.88,Yes
Declined,female,40771,RENT,4000,10.96,No
Declined,male,40684,RENT,4000,9.88,Yes
Declined,male,46905,MORTGAGE,6500,7.51,Yes
Declined,male,41838,RENT,4000,12.69,Yes
Declined,male,47330,MORTGAGE,2500,11.01,Yes
Declined,male,46937,MORTGAGE,3000,11.01,Yes
Declined,male,42109,RENT,4000,11.01,Yes
Declined,female,42268,RENT,4000,11.49,No
Declined,male,47135,MORTGAGE,4800,9.99,Yes
Declined,female,42770,RENT,4000,10.74,No
Approved,female,40272,MORTGAGE,13750,16.45,No
Approved,female,40239,MORTGAGE,6000,14.61,No
Declined,male,47609,MORTGAGE,4800,11.91,Yes
Declined,female,42818,RENT,4000,16.29,Yes
Approved,male,36007,RENT,4000,14.54,No
Approved,male,35619,RENT,4000,14.83,No
Declined,female,42911,RENT,4000,7.51,No
Declined,male,47668,MORTGAGE,9500,7.51,Yes
Approved,male,35828,RENT,4000,15.33,No
Approved,male,35585,RENT,4000,9.96,No
Declined,male,47665,MORTGAGE,10000,12.21,No
Declined,female,43329,RENT,4000,10.99,Yes
Declined,male,47780,MORTGAGE,1200,11.01,Yes
Approved,male,37097,RENT,4000,14.27,No
Declined,female,44283,RENT,4000,5.42,No
Declined,female,44196,RENT,4000,11.01,No
Declined,male,44277,RENT,4000,5.42,No
Declined,male,43767,RENT,4000,13.61,Yes
Approved,female,36701,RENT,4000,14.96,No
Declined,female,44005,RENT,4000,7.4,No
Declined,female,43934,RENT,4000,8.94,No
Declined,male,43938,RENT,4000,10.14,Yes
Declined,female,44585,RENT,4000,7.68,Yes
Declined,female,45444,RENT,4000,10.95,Yes
Declined,male,45586,RENT,4000,10.08,Yes
Declined,male,45310,RENT,4000,13.49,Yes
Declined,male,46670,RENT,4000,14.26,No
Declined,female,47907,MORTGAGE,3250,10.99,Yes
Declined,male,47675,MORTGAGE,3000,13.99,Yes
Declined,male,47417,RENT,4000,10.59,Yes
Declined,female,47372,RENT,4000,10.59,Yes
Declined,male,47190,RENT,4000,12.99,Yes
Declined,male,48134,MORTGAGE,1000,7.49,No
Declined,male,47348,RENT,4000,7.29,No
Approved,female,40106,RENT,4000,11.01,No
Declined,female,46854,RENT,4000,12.53,Yes
Declined,female,47489,RENT,4000,12.72,Yes
Declined,female,47965,RENT,4000,7.88,Yes
Declined,male,47613,RENT,4000,14.61,Yes
Declined,female,47663,MORTGAGE,5600,5.42,Yes
Declined,female,47501,MORTGAGE,5000,12.98,Yes
Declined,male,47685,MORTGAGE,9500,6.91,No
Declined,female,47809,MORTGAGE,4500,6.54,No
Approved,male,40402,MORTGAGE,9000,13.72,No
Declined,male,48253,MORTGAGE,6000,7.51,No
Declined,female,49259,RENT,4000,12.69,Yes
Declined,male,49029,RENT,4000,13.8,No
Declined,female,48928,RENT,4000,5.42,No
Approved,male,42032,RENT,4000,11.01,No
Declined,female,47769,MORTGAGE,10000,7.51,No
Declined,female,47839,MORTGAGE,10750,11.01,No
Approved,female,40207,MORTGAGE,3250,7.14,No
Declined,male,49140,RENT,4000,11.01,Yes
Declined,male,48970,RENT,4000,7.51,No
Declined,female,48807,RENT,4000,11.49,No
Declined,female,49134,RENT,4000,7.43,Yes
Declined,male,49265,RENT,4000,6.76,Yes
Approved,female,43186,RENT,4000,12.18,No
Declined,male,47926,MORTGAGE,3000,12.53,Yes
Declined,male,50147,RENT,4000,7.68,No
Declined,male,50349,RENT,4000,11.01,Yes
Approved,male,43302,RENT,4000,16,No
Declined,male,51269,RENT,4000,12.42,No
Declined,male,51544,RENT,4000,10.59,Yes
Approved,male,40456,MORTGAGE,12000,10.91,No
Approved,female,44249,RENT,4000,12.99,No
Approved,female,44146,RENT,4000,10.99,No
Declined,female,47631,OWN,7000,11.71,Yes
Declined,female,48368,OWN,5000,7.74,Yes
Approved,female,41002,MORTGAGE,6000,15.96,No
Approved,male,40629,MORTGAGE,3000,12.69,No
Approved,male,44063,RENT,4000,14.54,No
Declined,female,51205,RENT,4000,14.09,Yes
Declined,male,51497,RENT,4000,8.88,Yes
Declined,female,47706,MORTGAGE,10000,13.49,Yes
Declined,male,51514,RENT,4000,5.79,No
Declined,female,48061,MORTGAGE,7000,9.62,Yes
Declined,male,47831,MORTGAGE,5325,14.59,Yes
Declined,female,51794,RENT,4000,13.22,Yes
Declined,male,52001,RENT,4000,12.99,Yes
Declined,female,52462,RENT,4000,11.01,No
Declined,male,48310,MORTGAGE,5000,6.62,Yes
Declined,male,52457,RENT,4000,12.69,Yes
Declined,female,48385,OWN,1325,6.62,Yes
Declined,male,48187,OWN,14000,7.29,Yes
Declined,male,52626,RENT,4000,12.99,Yes
Approved,female,48574,RENT,4000,5.79,No
Declined,male,55768,RENT,4000,6.54,Yes
Declined,male,48327,MORTGAGE,10000,14.22,Yes
Approved,female,50274,RENT,4000,7.51,No
Declined,female,57523,RENT,4000,11.01,Yes
Approved,female,50663,RENT,4000,14.84,No
Declined,female,57689,RENT,4000,11.01,Yes
Declined,male,57737,RENT,4000,12.53,Yes
Declined,female,57178,RENT,4000,6.62,Yes
Declined,male,58919,RENT,4000,9.91,Yes
Declined,male,58697,RENT,4000,11.01,Yes
Declined,female,48265,OWN,3500,6.62,Yes
Declined,female,58445,RENT,4000,5.79,No
Declined,male,58557,RENT,4000,7.29,Yes
Declined,female,48535,MORTGAGE,4800,12.42,No
Approved,male,51460,RENT,4000,11.86,No
Approved,male,51784,RENT,4000,12.73,No
Declined,female,48414,MORTGAGE,5000,8.88,Yes
Declined,female,48501,MORTGAGE,6000,7.88,No
Declined,female,48562,MORTGAGE,8250,9.32,Yes
Approved,female,41884,MORTGAGE,4500,5.99,No
Approved,male,53733,RENT,4000,17.58,No
Declined,male,60836,RENT,4000,5.42,Yes
Declined,female,48452,MORTGAGE,11500,15.7,Yes
Declined,male,48260,OWN,13000,13.57,Yes
Declined,female,48554,MORTGAGE,8400,7.51,No
Declined,male,61075,RENT,4000,7.66,No
Declined,female,61011,RENT,4000,11.01,No
Declined,female,60881,RENT,4000,10.37,Yes
Declined,male,61021,RENT,4000,5.42,Yes
Declined,male,49070,MORTGAGE,9750,10.99,Yes
Declined,female,48782,OWN,3000,8.88,Yes
Declined,female,48990,OWN,15000,10.99,No
Declined,male,61180,RENT,4000,6.92,Yes
Declined,female,60648,RENT,4000,12.61,Yes
Declined,female,61096,RENT,4000,7.88,No
Declined,female,48992,MORTGAGE,10000,11.01,No
Declined,male,61083,RENT,4000,14.96,Yes
Declined,male,61219,RENT,4000,7.4,No
Declined,female,60870,RENT,4000,14.61,Yes
Declined,male,60934,RENT,4000,6.92,Yes
Declined,male,61082,RENT,4000,7.88,Yes
Approved,male,54438,RENT,4000,5.99,No
Declined,female,48976,MORTGAGE,2400,14.27,Yes
Declined,male,62428,RENT,4000,6.17,Yes
Declined,female,49170,MORTGAGE,6000,12.42,Yes
Declined,male,49391,MORTGAGE,3000,9.91,No
Declined,female,62115,RENT,4000,11.54,No
Approved,male,55095,RENT,4000,15.99,No
Declined,female,62871,RENT,4000,9.91,No
Declined,male,49349,MORTGAGE,5000,14.82,Yes
Approved,female,55718,RENT,4000,19.29,No
Declined,male,63379,RENT,4000,13.98,No
Declined,male,63410,RENT,4000,10.37,Yes
Declined,male,48995,OWN,11000,9.63,No
Declined,male,63384,RENT,4000,9.88,Yes
Approved,male,56529,RENT,4000,16.32,No
Declined,male,63990,RENT,4000,11.01,Yes
Declined,female,65000,RENT,4000,7.9,No
Declined,male,65280,RENT,4000,10.62,No
Approved,male,58454,RENT,4000,10.37,No
Declined,female,65512,RENT,4000,11.89,No
Declined,male,67131,RENT,4000,7.51,No
Declined,female,48828,OWN,3500,11.01,Yes
Declined,male,66878,RENT,4000,10.99,No
Declined,female,67221,RENT,4000,6.92,No
Declined,female,67543,RENT,4000,13.35,Yes
Declined,female,67103,RENT,4000,11.86,Yes
Declined,female,66895,RENT,4000,12.53,No
Declined,male,67300,RENT,4000,11.26,Yes
Declined,male,67950,RENT,4000,15.23,No
Declined,male,49119,MORTGAGE,10000,7.51,Yes
Declined,male,69242,RENT,4000,7.49,No
Declined,female,49161,MORTGAGE,8000,10.25,Yes
Declined,male,69620,RENT,4000,11.01,Yes
Declined,female,69831,RENT,4000,8.88,No
Declined,male,49019,MORTGAGE,3600,7.51,Yes
Declined,male,49223,MORTGAGE,13000,13.48,Yes
Declined,male,70148,RENT,4000,7.75,Yes
Declined,female,49282,OWN,7000,13.57,No
Declined,female,70345,RENT,4000,10.74,Yes
Declined,female,70338,RENT,4000,10,No
Declined,male,70923,RENT,4000,10.37,Yes
Declined,male,49293,MORTGAGE,6000,8,Yes
Approved,male,64458,RENT,4000,9.99,No
Declined,male,48807,MORTGAGE,3200,11.01,Yes
Declined,female,73035,RENT,4000,7.51,Yes
Declined,male,73277,RENT,4000,15.33,Yes
Declined,female,73065,RENT,4000,11.83,No
Approved,female,65586,RENT,4000,13.47,No
Declined,male,73321,RENT,4000,12.21,Yes
Declined,female,48856,MORTGAGE,7500,12.22,Yes
Declined,female,75443,RENT,4000,13.06,Yes
Declined,female,49041,MORTGAGE,6500,8.32,No
Declined,female,75375,RENT,4000,10.59,No
Approved,male,68666,RENT,4000,14.75,No
Declined,female,76049,RENT,4000,8.9,Yes
Declined,male,76243,RENT,4000,10.37,Yes
Declined,female,76438,RENT,4000,11.49,Yes
Declined,female,76200,RENT,4000,11.01,Yes
Declined,male,77278,RENT,4000,11.01,Yes
Declined,male,49035,MORTGAGE,14400,12.69,Yes
Declined,female,49134,MORTGAGE,9875,7.9,No
Declined,female,78860,RENT,4000,7.51,Yes
Declined,male,79334,RENT,4000,6.62,Yes
Declined,male,49037,MORTGAGE,12000,13.49,Yes
Declined,female,79190,RENT,4000,5.42,Yes
Declined,female,78843,RENT,4000,7.49,No
Declined,male,79501,RENT,4000,12.23,Yes
Declined,male,48849,MORTGAGE,18000,9.91,No
Approved,female,74112,RENT,4000,16,No
Declined,male,81572,RENT,4000,11.01,Yes
Declined,female,81882,RENT,4000,6.76,Yes
Declined,male,49256,MORTGAGE,12000,13.49,No
Declined,female,82579,RENT,4000,6.76,No
Approved,male,76575,RENT,4000,11.12,No
Declined,female,84270,RENT,4000,7.74,No
Approved,male,78112,RENT,4000,11.01,No
Declined,female,85014,RENT,4000,7.9,No
Declined,female,85095,RENT,4000,5.99,Yes
Declined,male,85124,RENT,4000,13.49,Yes
Declined,female,49058,MORTGAGE,6000,10.65,Yes
Declined,male,85137,RENT,4000,13.06,Yes
Declined,male,84973,RENT,4000,13.85,Yes
Approved,female,41328,MORTGAGE,12000,14.27,No
Declined,male,48688,MORTGAGE,7100,11.01,No
Declined,male,87797,RENT,4000,7.88,No
Declined,female,91022,RENT,4000,11.49,Yes
Declined,male,49075,MORTGAGE,5000,6.03,Yes
Approved,female,41757,MORTGAGE,4500,11.71,No
Declined,male,49074,MORTGAGE,2100,6.03,Yes
Declined,male,49036,MORTGAGE,5000,6.62,Yes
Declined,male,49052,MORTGAGE,7500,12.42,Yes
Declined,female,49130,MORTGAGE,6000,11.01,Yes
Declined,male,93675,RENT,4000,11.71,Yes
Declined,female,95960,RENT,4000,11.01,Yes
Declined,male,48740,MORTGAGE,5400,12.42,No
Declined,male,96919,RENT,4000,10.59,No
Declined,male,48814,MORTGAGE,10000,6.03,No
Declined,female,96748,RENT,4000,14.46,Yes
Declined,male,97069,RENT,4000,11.12,No
Declined,female,49033,MORTGAGE,6700,10.65,No
Declined,female,99552,RENT,4000,12.53,No
Declined,female,99520,RENT,4000,13.48,No
Approved,male,41682,MORTGAGE,5500,10.65,No
Declined,female,111440,RENT,4000,5.42,Yes
Declined,male,112264,RENT,4000,5.42,No
Declined,male,114957,RENT,4000,7.9,No
Declined,male,115002,RENT,4000,11.49,Yes
Declined,male,49271,OWN,15000,12.42,Yes
Declined,female,48826,MORTGAGE,6400,9.91,No
Declined,female,118320,RENT,4000,9.32,Yes
Declined,male,48904,MORTGAGE,7500,7.51,Yes
Approved,male,106302,RENT,4000,7.14,No
Declined,male,48915,MORTGAGE,4500,6.62,Yes
Declined,male,48820,MORTGAGE,2000,7.9,Yes
Declined,female,48963,OWN,2500,14.27,No
Approved,male,41874,MORTGAGE,4000,17.58,No
Declined,female,157310,RENT,4000,10.99,Yes
Approved,female,142394,RENT,4000,10.51,No
Declined,female,158395,RENT,4000,12.84,No
Declined,male,49207,MORTGAGE,5000,6.62,No
Approved,female,190662,RENT,4000,14.84,No
Approved,female,19135,RENT,4200,13.11,No
Approved,female,20212,RENT,4200,11.01,No
Approved,female,23704,RENT,4200,11.01,No
Declined,female,25808,RENT,4200,11.01,Yes
Declined,male,48794,MORTGAGE,10000,9.91,Yes
Declined,female,26468,RENT,4200,15.23,Yes
Approved,male,27932,RENT,4200,15.2,No
Declined,female,48958,MORTGAGE,4000,7.51,No
Declined,male,29110,RENT,4200,11.01,Yes
Declined,female,30800,RENT,4200,14.26,No
Approved,male,32021,RENT,4200,16,No
Approved,female,34624,RENT,4200,9.91,No
Declined,male,48773,MORTGAGE,8000,11.01,No
Declined,male,35501,RENT,4200,11.01,Yes
Declined,female,37077,RENT,4200,9.91,Yes
Approved,female,37033,RENT,4200,16.49,No
Declined,female,36633,RENT,4200,15.99,Yes
Approved,male,15487,RENT,4350,12.98,No
Declined,male,49200,OWN,2000,11.01,No
Declined,female,27321,RENT,4350,11.54,Yes
Declined,female,48745,OWN,7500,5.42,No
Declined,female,37063,RENT,4350,6.03,Yes
Declined,female,48936,OWN,5000,8.49,No
Declined,female,49374,MORTGAGE,4000,9.99,No
Declined,male,48653,MORTGAGE,2200,8.49,Yes
Declined,female,49103,MORTGAGE,3600,7.49,No
Approved,female,18294,RENT,4375,11.01,No
Declined,female,48846,MORTGAGE,4000,10.99,Yes
Declined,female,48848,MORTGAGE,6000,11.99,Yes
Approved,male,19116,RENT,4375,12.69,No
Approved,male,21286,RENT,4375,9.99,No
Approved,male,27505,RENT,4375,16.4,No
Declined,female,30374,RENT,4375,5.79,No
Declined,female,60914,RENT,4375,8.49,No
Approved,male,18130,RENT,4400,19.91,No
Approved,male,23780,RENT,4400,11.49,No
Declined,male,25225,RENT,4400,6.91,Yes
Declined,female,31429,RENT,4400,6.76,Yes
Declined,female,49021,MORTGAGE,2000,12.99,Yes
Declined,male,39880,RENT,4400,8.49,Yes
Declined,male,49378,MORTGAGE,5000,5.42,Yes
Declined,male,48907,MORTGAGE,6000,14.79,Yes
Declined,female,49214,MORTGAGE,7200,7.49,No
Approved,female,41506,MORTGAGE,15000,15.99,No
Declined,male,46463,RENT,4400,11.71,Yes
Approved,female,52438,RENT,4400,11.99,No
Declined,female,48952,MORTGAGE,5000,12.99,Yes
Approved,male,60341,RENT,4400,16.77,No
Declined,female,72912,RENT,4400,15.23,Yes
Declined,male,87387,RENT,4400,11.01,Yes
Declined,male,96933,RENT,4400,19.03,Yes
Declined,male,49126,MORTGAGE,13000,9.99,Yes
Declined,male,115568,RENT,4400,13.8,Yes
Declined,male,41678,RENT,4450,11.49,No
Declined,male,51571,RENT,4450,9.32,Yes
Declined,female,49232,MORTGAGE,5400,7.42,Yes
Declined,male,49060,MORTGAGE,14000,7.49,No
Approved,male,18440,RENT,4500,7.88,No
Declined,female,48777,MORTGAGE,4500,10.99,Yes
Declined,male,48699,MORTGAGE,3500,13.49,Yes
Declined,female,49171,MORTGAGE,3200,10.99,Yes
Approved,female,19893,RENT,4500,5.99,No
Approved,female,19432,RENT,4500,7.51,No
Declined,male,49116,MORTGAGE,7500,11.49,Yes
Declined,male,49151,OWN,2800,8.49,Yes
Approved,female,22393,RENT,4500,13.99,No
Declined,male,49052,OWN,11000,8.49,Yes
Approved,female,22512,RENT,4500,7.49,No
Declined,female,49240,MORTGAGE,15000,7.49,No
Declined,male,49244,MORTGAGE,3000,11.99,No
Declined,female,49473,MORTGAGE,13200,11.01,No
Declined,male,48845,MORTGAGE,2000,10.99,Yes
Approved,male,22629,RENT,4500,10.38,No
Declined,female,49099,MORTGAGE,2500,9.99,No
Approved,female,22557,RENT,4500,12.21,No
Approved,male,22674,RENT,4500,8.94,No
Declined,male,49073,MORTGAGE,10000,5.79,No
Approved,female,22958,RENT,4500,13.61,No
Declined,male,49065,OWN,4300,10.74,No
Declined,female,24819,RENT,4500,13.49,Yes
Declined,male,48851,MORTGAGE,2125,11.11,Yes
Declined,male,25451,RENT,4500,8,Yes
Declined,male,25515,RENT,4500,10.99,Yes
Declined,male,26168,RENT,4500,9.62,No
Approved,female,25942,RENT,4500,16.45,No
Declined,male,48760,MORTGAGE,10850,7.66,Yes
Approved,female,27041,RENT,4500,15.65,No
Approved,male,28977,RENT,4500,17.99,No
Approved,female,41668,MORTGAGE,4000,14.17,No
Declined,male,49044,MORTGAGE,7200,11.11,Yes
Declined,male,29600,RENT,4500,9.62,No
Declined,male,30071,RENT,4500,12.42,No
Declined,male,48697,MORTGAGE,5000,11.11,No
Declined,male,29766,RENT,4500,5.79,No
Declined,male,30066,RENT,4500,11.49,No
Declined,male,48690,MORTGAGE,4000,7.29,No
Declined,male,30827,RENT,4500,8.94,Yes
Declined,male,31524,RENT,4500,9.99,Yes
Approved,male,32015,RENT,4500,8.49,No
Declined,male,38354,RENT,4500,6.92,No
Declined,male,39099,RENT,4500,7.29,Yes
Declined,female,40158,RENT,4500,7.49,Yes
Declined,female,48780,MORTGAGE,4800,5.42,No
Declined,female,40596,RENT,4500,7.88,No
Approved,male,40603,RENT,4500,15.05,No
Declined,female,49332,MORTGAGE,8000,6.92,Yes
Declined,male,43095,RENT,4500,14.27,Yes
Declined,female,43079,RENT,4500,10.59,No
Declined,male,42780,RENT,4500,12.87,No
Declined,male,49363,MORTGAGE,8000,10.74,Yes
Declined,female,49078,MORTGAGE,14000,11.01,Yes
Declined,female,43944,RENT,4500,6.62,No
Declined,female,48939,MORTGAGE,16000,11.01,Yes
Approved,male,41812,MORTGAGE,12250,6.91,No
Declined,male,44119,RENT,4500,6.17,Yes
Declined,male,44145,RENT,4500,7.14,Yes
Declined,female,48633,OWN,6000,9.25,No
Declined,male,45723,RENT,4500,11.03,Yes
Declined,male,48808,MORTGAGE,7000,8.88,Yes
Declined,male,45951,RENT,4500,5.42,No
Declined,female,49231,OWN,6900,6.91,No
Approved,male,39716,RENT,4500,9.63,No
Declined,female,46965,RENT,4500,10.83,No
Declined,male,46726,RENT,4500,7.88,Yes
Approved,female,41736,MORTGAGE,7000,14.09,No
Declined,female,47690,RENT,4500,10.99,Yes
Declined,female,49316,RENT,4500,13.43,No
Declined,female,48977,RENT,4500,7.66,No
Declined,female,48722,RENT,4500,7.74,No
Declined,female,49314,OWN,12000,14.83,Yes
Declined,male,48803,RENT,4500,12.84,No
Declined,female,48989,MORTGAGE,4000,10.36,No
Approved,male,42201,RENT,4500,14.84,No
Declined,female,50330,RENT,4500,12.99,Yes
Declined,female,48863,MORTGAGE,5000,12.61,Yes
Approved,male,44392,RENT,4500,17.27,No
Declined,male,49052,MORTGAGE,3500,8.88,No
Declined,male,48868,MORTGAGE,5300,5.42,No
Declined,male,51111,RENT,4500,6.03,Yes
Declined,female,51434,RENT,4500,11.49,Yes
Declined,female,49221,MORTGAGE,6000,5.79,Yes
Declined,male,51390,RENT,4500,7.66,Yes
Declined,male,53098,RENT,4500,6.76,No
Declined,female,53945,RENT,4500,5.99,No
Declined,male,53841,RENT,4500,7.74,Yes
Declined,female,54903,RENT,4500,9.25,Yes
Approved,male,50159,RENT,4500,13.49,No
Declined,female,48818,MORTGAGE,4800,11.01,No
Declined,male,58668,RENT,4500,11.11,Yes
Declined,female,59556,RENT,4500,12.21,Yes
Approved,female,54018,RENT,4500,14.46,No
Approved,male,54097,RENT,4500,5.79,No
Declined,male,49270,MORTGAGE,2500,6.76,Yes
Declined,female,49004,OWN,1000,6.76,Yes
Declined,male,64305,RENT,4500,6.76,Yes
Declined,female,66038,RENT,4500,7.14,Yes
Declined,female,49311,OWN,10000,11.86,No
Approved,male,58920,RENT,4500,9.76,No
Approved,male,41799,MORTGAGE,7750,15.21,No
Declined,female,66406,RENT,4500,11.01,Yes
Declined,male,49018,MORTGAGE,4000,7.14,Yes
Declined,male,48960,OWN,2000,14.35,Yes
Declined,female,67018,RENT,4500,7.9,Yes
Declined,female,67066,RENT,4500,8.49,Yes
Declined,female,66890,RENT,4500,6.76,Yes
Declined,male,49086,MORTGAGE,15250,13.98,Yes
Declined,male,48776,MORTGAGE,8000,11.01,Yes
Declined,female,71283,RENT,4500,6.03,Yes
Declined,male,71709,RENT,4500,12.68,Yes
Declined,male,48828,OWN,8000,10.38,No
Approved,male,65316,RENT,4500,8.49,No
Approved,male,65598,RENT,4500,11.01,No
Declined,male,75470,RENT,4500,12.42,Yes
Declined,male,49297,MORTGAGE,8100,7.14,Yes
Approved,male,72955,RENT,4500,10.99,No
Declined,male,49145,MORTGAGE,4000,6.39,Yes
Declined,male,89982,RENT,4500,12.18,Yes
Declined,male,95980,RENT,4500,8.63,No
Declined,female,96657,RENT,4500,13.06,Yes
Declined,female,99732,RENT,4500,7.42,Yes
Declined,male,102473,RENT,4500,12.18,Yes
Declined,male,105441,RENT,4500,11.01,Yes
Declined,male,49023,MORTGAGE,10500,11.36,Yes
Declined,male,49113,MORTGAGE,10000,9.88,Yes
Declined,male,49184,OWN,5600,10.25,No
Declined,male,166754,RENT,4500,13.43,Yes
Declined,female,26008,RENT,4550,13.72,Yes
Approved,male,41748,MORTGAGE,10000,10.62,No
Declined,female,37174,RENT,4550,12.84,Yes
Declined,male,51821,RENT,4550,15.23,Yes
Declined,male,157081,RENT,4550,13.57,No
Declined,male,29647,RENT,4600,13.99,Yes
Declined,female,34450,RENT,4600,6.03,Yes
Declined,male,48992,MORTGAGE,6000,10.62,No
Declined,male,35471,RENT,4600,11.01,No
Declined,male,37030,RENT,4600,11.01,Yes
Declined,male,49053,MORTGAGE,4750,11.01,Yes
Declined,male,40398,RENT,4600,11.71,Yes
